freq,sex,age,acl18,unit,geo\TIME_PERIOD	2020 
A,F,Y10-14,AC514-516,TIME_SP,DE	0:19 
A,F,Y10-14,AC514-516,TIME_SP,EE	0:13 
A,F,Y10-14,AC514-516,TIME_SP,FI	0:13 
A,F,Y10-14,AC514-516,TIME_SP,NO	0:55 
A,F,Y10-14,AC531,PTP_RT,AT	4.38 
A,F,Y10-14,AC531,PTP_RT,BG	1.19 
A,F,Y10-14,AC531,PTP_RT,DE	0 
A,F,Y10-14,AC531,PTP_RT,EE	7.15 
A,F,Y10-14,AC531,PTP_RT,FI	14.98 
A,F,Y10-14,AC531,PTP_RT,NO	3.20 
A,F,Y10-14,AC531,PTP_TIME,AT	0:48 u
A,F,Y10-14,AC531,PTP_TIME,BG	: u
A,F,Y10-14,AC531,PTP_TIME,DE	: u
A,F,Y10-14,AC531,PTP_TIME,EE	: u
A,F,Y10-14,AC531,PTP_TIME,FI	1:10 u
A,F,Y10-14,AC531,PTP_TIME,NO	: u
A,F,Y10-14,AC531,TIME_SP,AT	0:02 
A,F,Y10-14,AC531,TIME_SP,BG	0:02 
A,F,Y10-14,AC531,TIME_SP,DE	0:00 
A,F,Y10-14,AC531,TIME_SP,EE	0:04 
A,F,Y10-14,AC531,TIME_SP,FI	0:11 
A,F,Y10-14,AC531,TIME_SP,NO	0:03 
A,F,Y10-14,AC72,PTP_RT,AT	1.51 
A,F,Y10-14,AC72,PTP_RT,BG	1.80 
A,F,Y10-14,AC72,PTP_RT,DE	4.50 
A,F,Y10-14,AC72,PTP_RT,EE	5.94 
A,F,Y10-14,AC72,PTP_RT,FI	18.06 
A,F,Y10-14,AC72,PTP_RT,NO	0.96 
A,F,Y10-14,AC72,PTP_TIME,AT	: u
A,F,Y10-14,AC72,PTP_TIME,BG	: u
A,F,Y10-14,AC72,PTP_TIME,DE	1:09 
A,F,Y10-14,AC72,PTP_TIME,EE	: u
A,F,Y10-14,AC72,PTP_TIME,FI	1:44 u
A,F,Y10-14,AC72,PTP_TIME,NO	: u
A,F,Y10-14,AC72,TIME_SP,AT	0:01 
A,F,Y10-14,AC72,TIME_SP,BG	0:01 
A,F,Y10-14,AC72,TIME_SP,DE	0:03 
A,F,Y10-14,AC72,TIME_SP,EE	0:02 
A,F,Y10-14,AC72,TIME_SP,FI	0:19 
A,F,Y10-14,AC72,TIME_SP,NO	0:00 
A,F,Y10-14,AC81,PTP_RT,AT	8.80 
A,F,Y10-14,AC81,PTP_RT,BG	0 
A,F,Y10-14,AC81,PTP_RT,DE	2.74 
A,F,Y10-14,AC81,PTP_RT,EE	3.71 
A,F,Y10-14,AC81,PTP_RT,FI	9.67 
A,F,Y10-14,AC81,PTP_RT,NO	3.84 
A,F,Y10-14,AC81,PTP_TIME,AT	0:43 u
A,F,Y10-14,AC81,PTP_TIME,BG	: u
A,F,Y10-14,AC81,PTP_TIME,DE	1:27 
A,F,Y10-14,AC81,PTP_TIME,EE	: u
A,F,Y10-14,AC81,PTP_TIME,FI	: u
A,F,Y10-14,AC81,PTP_TIME,NO	: u
A,F,Y10-14,AC81,TIME_SP,AT	0:04 
A,F,Y10-14,AC81,TIME_SP,BG	0:00 
A,F,Y10-14,AC81,TIME_SP,DE	0:02 
A,F,Y10-14,AC81,TIME_SP,EE	0:03 
A,F,Y10-14,AC81,TIME_SP,FI	0:12 
A,F,Y10-14,AC81,TIME_SP,NO	0:04 
A,F,Y10-14,AC821,PTP_RT,AT	14.71 
A,F,Y10-14,AC821,PTP_RT,BG	25.48 
