freq,sex,age,unit,geo\TIME_PERIOD	2020 
A,M,Y30-64,TIME_SP,NO	3:26 
A,M,Y30-64,TIME_SP,RS	2:56 
A,M,Y35-44,PTP_RT,AT	82.20 
A,M,Y35-44,PTP_RT,BG	93.56 
A,M,Y35-44,PTP_RT,DE	88.25 
A,M,Y35-44,PTP_RT,EE	82.50 
A,M,Y35-44,PTP_RT,FI	89.82 
A,M,Y35-44,PTP_RT,NO	77.12 
A,M,Y35-44,PTP_RT,RS	93.02 
A,M,Y35-44,PTP_TIME,AT	4:04 
A,M,Y35-44,PTP_TIME,BG	3:05 
A,M,Y35-44,PTP_TIME,DE	4:48 
A,M,Y35-44,PTP_TIME,EE	3:25 
A,M,Y35-44,PTP_TIME,FI	3:41 
A,M,Y35-44,PTP_TIME,NO	4:25 
A,M,Y35-44,PTP_TIME,RS	3:28 
A,M,Y35-44,TIME_SP,AT	3:21 
A,M,Y35-44,TIME_SP,BG	2:53 
A,M,Y35-44,TIME_SP,DE	4:15 
A,M,Y35-44,TIME_SP,EE	2:49 
A,M,Y35-44,TIME_SP,FI	3:19 
A,M,Y35-44,TIME_SP,NO	3:25 
A,M,Y35-44,TIME_SP,RS	3:13 
A,M,Y45-54,PTP_RT,AT	76.45 
A,M,Y45-54,PTP_RT,BG	96.37 
A,M,Y45-54,PTP_RT,DE	87.04 
A,M,Y45-54,PTP_RT,EE	81.59 
A,M,Y45-54,PTP_RT,FI	88.62 
A,M,Y45-54,PTP_RT,NO	73.91 
A,M,Y45-54,PTP_RT,RS	89.84 
A,M,Y45-54,PTP_TIME,AT	3:58 
A,M,Y45-54,PTP_TIME,BG	3:04 
A,M,Y45-54,PTP_TIME,DE	4:28 
A,M,Y45-54,PTP_TIME,EE	3:18 
A,M,Y45-54,PTP_TIME,FI	3:36 
A,M,Y45-54,PTP_TIME,NO	4:22 
A,M,Y45-54,PTP_TIME,RS	3:06 
A,M,Y45-54,TIME_SP,AT	3:02 
A,M,Y45-54,TIME_SP,BG	2:58 
A,M,Y45-54,TIME_SP,DE	3:53 
A,M,Y45-54,TIME_SP,EE	2:42 
A,M,Y45-54,TIME_SP,FI	3:11 
A,M,Y45-54,TIME_SP,NO	3:14 
A,M,Y45-54,TIME_SP,RS	2:47 
A,M,Y45-64,PTP_RT,AT	79.55 
A,M,Y45-64,PTP_RT,BG	95.03 
A,M,Y45-64,PTP_RT,DE	88.05 
